id,name,generic_term,generic_category,concise_code,lat,lon,location,decision_date
FAAVM,10th Line Shore,Dispersed Rural Community,Populated Place,UNP,45.0919444,-76.1505555,Lanark,1977-09-09
FIEXS,A.W. Campbell Conservation Area,Conservation Area,Administrative Area,PARK,42.8265060,-81.8348410,Middlesex,
FOBSZ,Aamjiwnaang,First Nation Administrative Location,Administrative Area,MUN2,42.9359950,-82.4160557,,2023-09-14
FABJW,Aaron Provincial Park,Provincial Park,Administrative Area,PARK,49.7596300,-92.6534500,Kenora,1990-12-31
FABKJ,Abbey,Geographic Township,Administrative Area,GEOG,48.2347222,-83.6877778,Sudbury,1962-12-31
FABKR,Abbotsford,Geographic Township,Administrative Area,GEOG,49.1230555,-79.7791667,Cochrane,1962-12-31
FABKU,Abbott,Geographic Township,Administrative Area,GEOG,49.1219444,-83.3241666,Algoma,1962-12-31
FABLH,Aberarder,Dispersed Rural Community,Populated Place,UNP,43.0527777,-82.0938889,Lambton,1950-05-04
FABLN,Aberdeen,Geographic Township,Administrative Area,GEOG,46.4843300,-83.7734000,Algoma,1962-12-31
FABLL,Aberdeen,Dispersed Rural Community,Populated Place,UNP,44.2127778,-80.8619444,Grey,1944-12-07
FABLM,Aberdeen,Dispersed Rural Community,Populated Place,UNP,45.4969445,-74.6663889,Prescott,1951-01-17
FABLO,Aberdeen Additional,Geographic Township,Administrative Area,GEOG,46.4844445,-83.8663889,Algoma,1962-12-31
FABLU,Aberfeldy,Dispersed Rural Community,Populated Place,UNP,42.7570900,-81.9374500,Lambton,1974-12-31
FABLV,Aberfoyle,Dispersed Rural Community,Populated Place,UNP,43.4708300,-80.1468400,Wellington,1949-07-07
FABME,Abigo,Geographic Township,Administrative Area,GEOG,48.4938889,-83.6822222,Algoma,1962-12-31
FABMK,Abingdon,Dispersed Rural Community,Populated Place,UNP,43.0836111,-79.6850000,Niagara,1937-12-07
FABML,Abinger,Geographic Township,Administrative Area,GEOG,44.9988889,-77.2038889,Lennox and Addington,1962-12-31
FABMS,Abitibi,Dispersed Rural Community,Populated Place,UNP,49.0251800,-80.8851400,Cochrane,1950-01-16
FESXI,Abitibi 70,Indian Reserve,Administrative Area,IR,48.6355560,-79.9797220,Cochrane,1987-04-30
FABMU,Abitibi Canyon,Compact Rural Community,Populated Place,UNP,49.8777778,-81.5711111,Cochrane,1974-06-07
FEPMI,Abitibi Lake Narrows Wilderness Area,Wilderness Area,Administrative Area,PARK,48.7460090,-79.9009865,Cochrane,1970-12-31
FIDFQ,Abitibi-De-Troyes Provincial Park,Provincial Park,Administrative Area,PARK,48.7520740,-80.0456790,Rickard,2005-04-21
FABNA,Abiwin,Railway Point,Populated Place,UNP,48.7444445,-91.0663889,Rainy River,1930-12-30
FABNE,Abney,Geographic Township,Administrative Area,GEOG,47.2805300,-82.4062800,Sudbury,1962-12-31
FCFNP,Abotossaway,Geographic Township,Administrative Area,GEOG,48.2341667,-84.6030555,Algoma,1975-07-03
FABNI,Abraham,Geographic Township,Administrative Area,GEOG,48.5836110,-85.1247220,Algoma,1975-07-03
FABNQ,Abrey,Geographic Township,Administrative Area,GEOG,49.7075000,-86.6102778,Thunder Bay,1962-12-31
FABNV,Acadia,Geographic Township,Administrative Area,GEOG,47.1963889,-80.4675000,Sudbury,1962-12-31
FABNZ,Acanthus,Railway Point,Populated Place,UNP,46.0307100,-78.4044400,Nipissing,1948-11-08
FABOH,Acheson,Geographic Township,Administrative Area,GEOG,46.5887200,-81.8688200,Sudbury,1962-12-31
FABOK,Achigan,Railway Point,Populated Place,UNP,46.8841666,-84.1713889,Algoma,1957-03-07
FABOP,Achill,Dispersed Rural Community,Populated Place,UNP,44.0163889,-79.9158333,Simcoe,1949-11-03
FABOR,Achray,Railway Point,Populated Place,UNP,45.8676500,-77.7570500,Nipissing,1957-01-17
FABPD,Acres,Geographic Township,Administrative Area,GEOG,50.1676300,-82.3844400,Cochrane,1962-12-31
FABPE,Actinolite,Compact Rural Community,Populated Place,UNP,44.5438889,-77.3261111,Hastings,1947-01-07
FABPF,Acton,Geographic Township,Administrative Area,GEOG,48.4947700,-84.0731800,Algoma,1962-12-31
FABPN,Actons Corners,Dispersed Rural Community,Populated Place,UNP,44.9897222,-75.7125000,Grenville,1968-03-21
FABPP,Adair,Geographic Township,Administrative Area,GEOG,49.1286111,-79.6016667,Cochrane,1962-12-31
FIDSV,Adair Lake Conservation Reserve,Conservation Reserve,Administrative Area,PARK,49.6214650,-92.2020990,Revell,2003-12-31
FEPSK,Adam Creek Provincial Nature Reserve,Provincial Nature Reserve,Administrative Area,PARK,50.2372222,-82.0991666,Cochrane,1990-12-31
FABQD,Adams,Geographic Township,Administrative Area,GEOG,48.3197222,-81.2686111,Cochrane,1974-05-07
FABQL,Adamsdale,Compact Rural Community,Populated Place,UNP,46.4894445,-80.9077778,Sudbury,1950-06-02
FABQX,Adamson,Geographic Township,Administrative Area,GEOG,49.1893400,-88.6373100,Thunder Bay,1962-12-31
FABRH,Adamsville,Dispersed Rural Community,Populated Place,UNP,44.8598600,-81.1636100,Bruce,1946-06-21
FABRI,Adanac,Geographic Township,Administrative Area,GEOG,49.5148400,-81.5667300,Cochrane,1962-12-31
FABRJ,Adanac,Dispersed Rural Community,Populated Place,UNP,45.4245100,-80.3893400,Parry Sound,1950-12-07
FABRK,Adanac,Dispersed Rural Community,Populated Place,UNP,46.9722000,-80.0312500,Nipissing,1973-10-03
FEUSS,Addington Highlands,Township Municipality,Administrative Area,MUN2,44.9313889,-77.3130556,Lennox and Addington,1998-01-01
FABRS,Addison,Geographic Township,Administrative Area,GEOG,48.1475000,-83.6861111,Sudbury,1962-12-31
FABRT,Addison,Compact Rural Community,Populated Place,UNP,44.6605556,-75.8822222,Leeds,1952-06-06
FABRY,Adelaide,Geographic Township,Administrative Area,GEOG,42.9669444,-81.7180556,Middlesex,1978-01-01
FABRZ,Adelaide,Dispersed Rural Community,Populated Place,UNP,43.0051000,-81.7121400,Middlesex,1950-05-04
FEVLX,Adelaide Metcalfe,Township Municipality,Administrative Area,MUN2,42.9481200,-81.7140200,Middlesex,2001-01-01
FABSF,Adelard,Railway Point,Populated Place,UNP,46.2133333,-78.0194444,Renfrew,1965-04-26
FABSP,Adjala,Geographic Township,Administrative Area,GEOG,44.0501200,-79.9076900,Simcoe,1962-12-31
FESED,Adjala-Tosorontio,Township Municipality,Administrative Area,MUN2,44.1322222,-79.9322222,Simcoe,1994-01-01
FABSR,Admaston,Geographic Township,Administrative Area,GEOG,45.4427000,-76.8337200,Renfrew,1962-12-31
FABSS,Admaston,Dispersed Rural Community,Populated Place,UNP,45.4751600,-76.8102900,Renfrew,1937-12-07
FEVHF,Admaston/Bromley,Township Municipality,Administrative Area,MUN2,45.5291667,-76.8969445,Renfrew,2000-01-01
FABST,Admiral,Geographic Township,Administrative Area,GEOG,48.3231600,-83.5567300,Sudbury,1962-12-31
FABTI,Adolphustown,Geographic Township,Administrative Area,GEOG,44.1016666,-77.0202778,Lennox and Addington,1962-12-31
FABTJ,Adolphustown,Dispersed Rural Community,Populated Place,UNP,44.0636111,-77.0033333,Lennox and Addington,1932-05-31
FABTM,Adrian,Geographic Township,Administrative Area,GEOG,48.4540000,-89.8319200,Thunder Bay,1962-12-31
FABTR,Advance,Dispersed Rural Community,Populated Place,UNP,45.8684900,-82.4290200,Manitoulin,1976-01-07
FABUI,Afton,Geographic Township,Administrative Area,GEOG,46.9338889,-80.3533333,Sudbury,1962-12-31
FABUU,Agassiz,Geographic Township,Administrative Area,GEOG,49.6438700,-81.1720900,Cochrane,1962-12-31
FIDIN,Agassiz Peatlands Provincial Park,Provincial Nature Reserve,Administrative Area,PARK,48.8689000,-94.5180800,Spohn,1985-12-31
FABUY,Agate,Geographic Township,Administrative Area,GEOG,49.6447222,-81.7694445,Cochrane,1962-12-31
FABUZ,Agate,Railway Point,Populated Place,UNP,48.5226600,-82.9635500,Algoma,1953-08-06
FEPMJ,Agate Island Wilderness Area,Wilderness Area,Administrative Area,PARK,48.6933333,-87.9877778,Thunder Bay,1970-12-31
FCPNY,Agawa,Railway Point,Populated Place,UNP,47.6653500,-84.5026300,Algoma,1952-07-03
FABVL,Agawa Bay,Dispersed Rural Community,Populated Place,UNP,47.3479100,-84.6265800,Algoma,1952-07-03
FESVI,Agency 1,Indian Reserve,Administrative Area,IR,48.6238890,-93.3616670,Rainy River,1990-12-31
FESXJ,Agency 30,Indian Reserve,Administrative Area,IR,49.3611110,-94.6152780,Kenora,
FABWA,Agerton,Dispersed Rural Community,Populated Place,UNP,43.5555556,-79.8077778,Halton,1950-05-04
FABWE,Agincourt,Urban Community,Populated Place,UNP,43.7926100,-79.2838900,York,1950-05-04
FABWF,Agincourt North,Urban Community,Populated Place,UNP,43.8027778,-79.2686111,York,1974-07-02
FABWS,Agnew,Geographic Township,Administrative Area,GEOG,51.1527778,-92.5919444,Kenora,1962-12-31
FABWV,Agonzon,Railway Point,Populated Place,UNP,48.9325000,-85.9280556,Thunder Bay,1956-03-01
FEBXC,Aguonie,Geographic Township,Administrative Area,GEOG,48.2369444,-84.4744444,Algoma,1975-07-03
FEVSK,Ahmic Forest and Rock Barrens Conservation Reserve,Conservation Reserve,Administrative Area,PARK,45.5853240,-79.7985610,Parry Sound,2001-04-06
FABXX,Ahmic Harbour,Compact Rural Community,Populated Place,UNP,45.6614900,-79.7774800,Parry Sound,1931-12-01
FABXY,Ahmic Lake,Dispersed Rural Community,Populated Place,UNP,45.6253400,-79.6870600,Parry Sound,1931-12-01
FABYP,Aikensville,Locality,Populated Place,UNP,43.4295600,-80.2333000,Wellington,1975-04-07
FABYS,Ailsa Craig,Community,Populated Place,UNP,43.1514200,-81.5365000,Middlesex,2001-01-01
FEPNV,Ainslie Wood Conservation Area,Conservation Area,Administrative Area,PARK,44.6318570,-80.8724010,County of Grey,
FABZL,Airlie,Compact Rural Community,Populated Place,UNP,44.2609800,-80.0082800,Simcoe,1950-06-02
FIDTE,Airport Road Conservation Reserve,Conservation Reserve,Administrative Area,PARK,49.8263590,-92.7631630,Zealand,2003-12-31
FABZT,Airy,Geographic Township,Administrative Area,GEOG,45.5303300,-78.1979400,Nipissing,1962-01-01
FABZS,Airy,Dispersed Rural Community,Populated Place,UNP,45.4984700,-78.2567700,Nipissing,1957-06-06
FABZZ,Aitken,Geographic Township,Administrative Area,GEOG,48.7754200,-81.9532700,Cochrane,1962-12-31
FACAG,Ajax,Town,Populated Place,TOWN,43.8582100,-79.0363500,Durham,1974-01-01
FIDTG,Akonesi Chain of Lakes Complex Conservation Reserve,Conservation Reserve,Administrative Area,PARK,47.8105770,-81.8169770,Carter,2003-12-31
FACBE,Akron,Railway Point,Populated Place,UNP,48.9034700,-84.1169800,Algoma,1954-08-05
FESVJ,Akwesasne 59,Indian Reserve,Administrative Area,IR,45.0480550,-74.5691670,"Stormont, Dundas and Glengarry",1985-04-25
FDIGQ,Alanen,Geographic Township,Administrative Area,GEOG,48.4152000,-85.1193300,Algoma,1975-07-03
FBQHS,Alarie,Geographic Township,Administrative Area,GEOG,47.6147223,-84.9413889,Algoma,1975-07-03
FACCA,Alban,Compact Rural Community,Populated Place,UNP,46.1051100,-80.6226300,Sudbury,1949-11-03
FCCKF,Albanel,Geographic Township,Administrative Area,GEOG,46.5761111,-83.0172222,Algoma,1975-07-03
FOBUU,Albany,First Nation Administrative Location,Administrative Area,MUN2,52.2153090,-81.6835750,,2023-09-14
FACCF,Albany Forks,Railway Point,Populated Place,UNP,49.1166667,-84.1811111,Algoma,1952-05-01
FEUUN,Albany River Provincial Park,Provincial Park,Administrative Area,PARK,51.3625000,-87.7750000,Kenora; Thunder Bay; Cochrane,1990-12-31
FACCM,Albemarle,Geographic Township,Administrative Area,GEOG,44.8550000,-81.1705555,Bruce,1962-12-31
FACCO,Albert,Dispersed Rural Community,Populated Place,UNP,44.3172700,-77.1346000,Hastings,1952-01-17
FEPSM,Albert Lake Mesa Provincial Nature Reserve,Provincial Nature Reserve,Administrative Area,PARK,49.0919444,-88.9788889,Thunder Bay,1990-12-31
FDPFU,Alberton,Township Municipality,Administrative Area,MUN2,48.5884600,-93.5203900,Rainy River,1991-05-30
FACDK,Alberton,Dispersed Rural Community,Populated Place,UNP,43.1867000,-80.0712500,Wentworth,1950-07-06
FACDO,Albion,Geographic Township,Administrative Area,GEOG,43.9237800,-79.8437800,Peel,1950-01-01
FACDP,Albion,Dispersed Rural Community,Populated Place,UNP,43.9069445,-79.8461111,Peel,1950-07-06
FACDS,Albion Falls,Urban Community,Populated Place,UNP,43.1972222,-79.8183334,Wentworth,1974-08-06
FIEXW,Albion Hills Conservation Area,Conservation Area,Administrative Area,PARK,43.9301680,-79.8283770,Peel,
FACDV,Albuna,Dispersed Rural Community,Populated Place,UNP,42.1361110,-82.6380550,Essex,1974-12-31
FACDW,Albury,Dispersed Rural Community,Populated Place,UNP,44.0792600,-77.5282100,Prince Edward,1932-03-01
FACEE,Alcona,Geographic Township,Administrative Area,GEOG,47.4537700,-82.1508400,Sudbury,1962-12-31
FACEF,Alcona,Compact Rural Community,Populated Place,UNP,44.3150300,-79.5462200,Simcoe,1978-04-26
FACEG,Alcona,Railway Point,Populated Place,UNP,50.0659250,-91.7409090,Kenora,1939-12-12
FACEN,Alcorn,Geographic Township,Administrative Area,GEOG,48.1476000,-83.0495600,Sudbury,1962-12-31
FACEQ,Aldborough,Geographic Township,Administrative Area,GEOG,42.5866666,-81.6602778,Elgin,1924-03-31
FELKB,Aldborough,Locality,Populated Place,UNP,42.5889600,-81.6693000,Elgin,1993-01-07
FACER,Alden,Railway Point,Populated Place,UNP,48.1913889,-84.5436111,Algoma,1954-08-05
FACEU,Alder,Dispersed Rural Community,Populated Place,UNP,44.1836300,-79.3837300,York,1950-05-04
FACFD,Alderdale,Dispersed Rural Community,Populated Place,UNP,46.1004000,-79.2611200,Nipissing,1933-10-03
FACFL,Aldershot,Urban Community,Populated Place,UNP,43.3088000,-79.8409800,Halton,1950-06-02
FACFN,Alderslea,Compact Rural Community,Populated Place,UNP,44.3226400,-79.5372900,Simcoe,1977-08-18
FACFO,Alderson,Geographic Township,Administrative Area,GEOG,49.2529500,-84.1835000,Algoma,1962-12-31
FACFP,Alderville,Dispersed Rural Community,Populated Place,UNP,44.1813889,-78.0661111,Northumberland,1931-12-01
FOBTI,Alderville First Nation,First Nation Administrative Location,Administrative Area,MUN2,44.1826905,-78.0632804,,2023-09-14
FESXK,Alderville First Nation,Indian Reserve,Administrative Area,IR,44.1760580,-78.0805300,Northumberland,2012-03-13
FACFR,Alderwood,Urban Community,Populated Place,UNP,43.6086300,-79.5387500,York,1975-06-27
FACFS,Aldina,Geographic Township,Administrative Area,GEOG,48.3688889,-89.9511111,Thunder Bay,1962-12-31
FACFZ,Aldred's Beach,Dispersed Rural Community,Populated Place,UNP,44.1644444,-78.8608334,Durham,1977-08-10
FIDLW,Alexander Lake Forest Provincial Park,Provincial Park,Administrative Area,PARK,46.4602860,-78.9198000,Antoine,2003-12-31
FIDMB,Alexander Stewart Provincial Park,Provincial Nature Reserve,Administrative Area,PARK,45.4302320,-76.4987940,Renfrew,2003-12-31
FACHK,Alexandra,Geographic Township,Administrative Area,GEOG,49.3833333,-81.7661111,Cochrane,1962-12-31
FACHT,Alexandria,Community,Populated Place,UNP,45.3094400,-74.6329500,Glengarry,1998-01-01
FECWL,Alexo,Railway Point,Populated Place,UNP,48.6675700,-80.8179400,Cochrane,1949-05-05
FACIP,Alfred,Geographic Township,Administrative Area,GEOG,45.5663889,-74.8816667,Prescott,1962-12-31
FACIQ,Alfred,Community,Populated Place,UNP,45.5561111,-74.8877778,Prescott,1997-01-01
